Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-September-2014,526.00,528.95,516.25,519.00,524.092353099664437749,326616,7682,171176948.00,120868,37.01,12.70,-7.00
18-September-2014,508.00,527.50,500.95,525.60,518.628590416720262248,513102,12850,266109367.00,205868,40.12,26.55,17.60
17-September-2014,502.00,509.00,491.05,506.85,499.967583005146529081,309529,8840,154754466.00,79669,25.74,17.95,4.85
16-September-2014,510.00,510.00,495.00,499.60,503.214905034918581200,921286,9191,463604847.00,749915,81.40,15.00,-10.40
15-September-2014,514.00,515.50,510.25,512.25,512.655794276658018174,156482,4685,80221404.00,66833,42.71,5.25,-1.75
12-September-2014,514.50,519.20,514.00,516.50,516.626496095911714688,247561,5371,127896572.00,112467,45.43,5.20,2.00
11-September-2014,518.10,519.95,510.90,514.10,514.595000922609197388,341423,10846,175694569.00,144364,42.28,9.05,-4.00
10-September-2014,514.90,520.35,512.50,516.30,517.411816762742904902,325436,11024,168384432.00,130674,40.15,7.85,1.40
9-September-2014,512.00,518.15,507.90,517.25,514.238041097154898945,444167,11186,228407568.00,175306,39.47,10.25,5.25
8-September-2014,510.00,512.00,503.00,510.50,507.438453074738556373,594392,9716,301617357.00,282519,47.53,9.00,0.50
5-September-2014,513.00,516.50,503.10,506.35,510.920753917404070266,594654,12427,303821070.00,341685,57.46,13.40,-6.65
4-September-2014,522.65,522.65,509.00,512.85,513.125433219008524849,333261,10250,171004695.00,103952,31.19,13.65,-9.80
3-September-2014,526.00,530.50,521.35,522.65,524.445013093934558626,459373,12665,240915879.00,173348,37.74,9.15,-3.35
2-September-2014,518.00,520.50,512.00,516.40,515.958395791936352262,258171,7357,133205495.00,75442,29.22,8.50,-1.60
1-September-2014,526.00,529.45,517.10,519.85,520.893615047367611898,377262,10059,196513367.00,158430,41.99,12.35,-6.15
28-August-2014,523.00,531.00,523.00,524.40,526.987512815926764693,396967,12421,209196652.00,92482,23.30,8.00,1.40
27-August-2014,517.90,524.45,516.70,521.60,520.097691433235199813,480298,12427,249801881.00,176687,36.79,7.75,3.70
26-August-2014,499.95,515.45,497.20,512.90,507.445082415011220107,459443,13342,233142091.00,87038,18.94,18.25,12.95
25-August-2014,515.90,517.90,505.30,508.30,512.750000000000000000,256704,7787,131624976.00,86706,33.78,12.60,-7.60
22-August-2014,514.00,520.70,510.50,511.50,514.564018837443019478,291547,11055,150019596.00,83108,28.51,10.20,-2.50
21-August-2014,515.20,518.10,506.40,512.60,512.681962452728254997,355392,10638,182203068.00,96515,27.16,11.70,-2.60
20-August-2014,519.00,521.85,509.25,511.65,515.359276262819313754,491836,13049,253472245.00,143956,29.27,12.60,-7.35
19-August-2014,507.90,520.50,505.45,518.75,513.123449493178172451,869635,26437,446230111.00,262586,30.19,15.05,10.85
18-August-2014,488.25,505.70,488.25,503.90,499.102184455602763829,815535,20323,407035300.00,245527,30.11,17.45,15.65
14-August-2014,473.25,485.70,473.25,484.60,481.562020736580624257,592576,16808,285362096.00,210155,35.46,12.45,11.35
